"구분별(1)",1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
"구분별(1)",이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),이용자수,1일최대입장객수,총면적 (㎡),시설면적 (㎡),일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인,일평균,합계,내국인,외국인
"경복궁",1279153,14344,335562,17309,1034868,11434,335562,17309,1092704,13831,335562,17309,1268680,12767,335562,17309,1227171,12118,335562,17309,1106818,9904,335562,17309,1133323,17622,327120,17309,1087697,13070,-,-,423981,53750,327120,17309,4266552,81563,327120,17309,2073484,40006,327120,17309,2331309,55703,327120,17309,2864170,66844,327120,17309,3114791,32968,327120,17309,3115169,47581,327120,17309,3819684,154000,456964,30201,3799804,83102,456964,30201,4522171,78357,456964,30201,12056,4400320,2953338,1446982,15276,5575704,3657756,1917948,13867,5061533,3347046,1714487,16448,6020118,3122183,2897935,12342,4504992,3336671,1168321,12185,4447571,3425247,1022324,14649,5346746,3874837,1471909,2784,1019097,868368,150729,2973,1085188,1065815,19373,9267,3382603,3164299,218304
"창덕궁",248638,3668,446981,13543,294110,5540,446981,13543,286181,4977,446981,13543,317123,4353,446981,13543,360554,5037,446981,13543,377939,5370,446981,14579,446229,6831,446981,14579,459922,5307,446981,14579,471156,5976,446981,14579,685698,10731,446981,14579,725666,9350,446981,14579,687924,6630,446981,14579,725602,8689,446981,14579,835281,7423,446981,14579,879061,6060,446981,14579,1172397,10276,446981,14579,1413636,14995,446981,14579,1458968,17931,446981,14579,4314,1574701,1077987,496714,4412,1610233,1155526,454707,4471,1631997,1226217,405780,4973,1820036,1287308,532728,4940,1803034,1350472,452562,4561,1664692,1075817,588875,4891,1785058,1238410,546648,1292,472875,421210,51665,1763,643549,627666,15883,3250,1186361,1044875,141486
"창경궁",673998,11321,215713,6307,389584,13864,215713,6307,382756,12168,215713,6307,378136,12417,215713,6307,-,-,215713,6307,-,-,215713,6307,325220,5651,215713,6307,323231,8656,215713,6307,423981,18107,215713,6307,675105,26325,215713,6307,417117,5712,215713,6307,342052,10283,215713,6307,500894,28120,215713,6307,523688,9182,215713,6307,462974,5195,215713,6307,519423,8912,215713,6307,519423,7514,215713,6307,598205,12502,215713,6307,1746,637394,608215,29179,2027,739967,705240,34727,2326,849089,807487,41602,2446,895137,845388,49749,2290,835972,772066,63906,2103,767446,690608,76838,2395,874324,780607,93717,1069,391315,381603,9712,1527,557433,551159,6274,2432,887806,849438,38368
"덕수궁",648645,8484,61099,10531,701746,8979,61206,10916,652340,10118,61206,10916,590716,8447,61206,10916,559127,9119,61206,10916,649502,12352,61206,10916,1384989,12435,61206,10916,481239,7918,61206,10916,1270842,20578,61206,10916,1162234,19331,61206,10916,691592,10003,61206,10916,978118,21683,61206,10916,1219702,20454,61206,10916,1467868,52789,61206,10916,1314067,9733,61206,10916,1098316,20747,61206,10916,1183977,12599,61206,10916,984446,15886,61206,10916,3233,1180217,1035879,144338,3654,1333888,1151792,182096,3526,1286981,1108388,178593,4224,1546126,1268344,277782,5068,1849804,1522049,327755,4702,1716334,1371381,344953,6613,2413596,2044800,368796,2807,1027432,976796,50636,4244,1548926,1531331,17595,7387,2696402,2593264,103138
"종묘",191687,3309,186768,17398,195322,3858,186768,17398,233974,5754,186768,17398,272491,5018,186768,17398,256335,4796,186768,17398,231010,4355,186768,17398,231082,6077,186768,17398,223073,3098,186768,17398,423981,4624,186768,17398,612293,7635,186768,17398,606511,8852,186768,17398,848300,15000,186768,17398,1015333,2904,186768,17398,988364,36000,186768,17398,224214,30000,186768,17398,490729,4613,186758,17398,367439,3467,186758,17398,416967,3882,186758,17398,913,333401,211673,121728,849,309887,235852,74035,758,276733,222228,54505,900,329403,253909,75494,1138,415196,356612,58584,1309,477628,410935,66693,1234,450398,389642,60756,400,146377,138917,7460,590,215263,211351,3912,785,286620,265635,20985
"어린이대공원",3965716,164288,583938,167975,4389977,251464,581820,165290,5022996,288907,581820,165290,4826270,251309,581820,165290,4344085,262590,581820,165290,4520820,228032,581820,165290,5991901,358430,581820,165290,5800190,279519,581820,165290,6158384,330912,581820,165290,6314976,350839,581820,165290,5497174,269320,560552,206099,5916075,280708,560552,206099,12299737,439389,560552,208505,10092955,503598,560522,208505,12649671,548496,560552,204424,12922469,538665,560552,204424,13479871,500819,560552,208402,11456778,314398,560552,212829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울대공원",2976190,118228,6670000,1905310,3050826,167120,6670000,1905310,2907422,152257,6670000,1905310,2760894,132667,6670000,1905310,2693121,135697,6670000,1905310,2951196,146630,1905310,6670000,2849100,104424,6670000,1905310,2725079,102219,6670000,1905310,3428383,74686,6670000,1905310,3541461,82203,6670000,1905310,3471166,72308,6670000,1905310,3590443,74893,6670000,1905310,3614225,61874,6670000,1905310,3364940,83841,6670000,1905310,3280364,65925,6670000,1905310,3073301,63600,6670000,1905310,4335514,115000,6670000,1905310,3534640,65211,6670000,1905310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
